SOURCE	TARGET	count
SPP1+ Mac_RA_BT	Proliferating CD8+ T_RA_AT	84
SPP1+ Mac_RA_BT	GZMK+ CD8+ NKTem_RA_AT	52
S100A12+ Mac_RA_BT	SPP1+ Mac_OA_BT	65
S100A12+ Mac_RA_BT	C1QC+ Mac_OA_BT	76
S100A12+ Mac_RA_BT	S100A12+ Mac_OA_BT	24
S100A12+ Mac_RA_BT	IEG Mac_OA_BT	24
S100A12+ Mac_RA_BT	Mac_OA_BT	15
S100A12+ Mac_RA_BT	CCL4+ Mac_OA_BT	6
S100A12+ Mac_RA_BT	SPP1+ Mac_RA_BT	165
S100A12+ Mac_RA_BT	S100A12+ Mac_RA_BT	69
S100A12+ Mac_RA_BT	IEG Mac_RA_BT	130
S100A12+ Mac_RA_BT	Mac_RA_BT	105
S100A12+ Mac_RA_BT	C1QC+ Mac_RA_BT	123
S100A12+ Mac_RA_BT	CCL4+ Mac_RA_BT	144
S100A12+ Mac_RA_BT	Mac_RA_AT	83
S100A12+ Mac_RA_BT	C1QC+ Mac_RA_AT	121
S100A12+ Mac_RA_BT	SPP1+ Mac_RA_AT	130
S100A12+ Mac_RA_BT	S100A12+ Mac_RA_AT	125
S100A12+ Mac_RA_BT	IEG Mac_RA_AT	81
S100A12+ Mac_RA_BT	CCL4+ Mac_RA_AT	138
S100A12+ Mac_RA_BT	ZNF683+ CD8+ Trm_OA_BT	29
S100A12+ Mac_RA_BT	GZMK+ CD8+ NKTem_OA_BT	38
S100A12+ Mac_RA_BT	GNLY+ NK_OA_BT	27
S100A12+ Mac_RA_BT	Naive T_OA_BT	28
S100A12+ Mac_RA_BT	GZMK+ CD8+ Tem2_OA_BT	22
S100A12+ Mac_RA_BT	GZMK+ CD8+ Tem1_OA_BT	26
S100A12+ Mac_RA_BT	Proliferating CD8+ T_OA_BT	53
S100A12+ Mac_RA_BT	CD4+ Tex_OA_BT	27
S100A12+ Mac_RA_BT	Treg_OA_BT	20
S100A12+ Mac_RA_BT	Proliferating NK_OA_BT	28
S100A12+ Mac_RA_BT	Naive T_RA_BT	58
S100A12+ Mac_RA_BT	Treg_RA_BT	57
S100A12+ Mac_RA_BT	CD4+ Tex_RA_BT	66
S100A12+ Mac_RA_BT	GZMK+ CD8+ Tem2_RA_BT	58
S100A12+ Mac_RA_BT	GNLY+ NK_RA_BT	60
S100A12+ Mac_RA_BT	ZNF683+ CD8+ Trm_RA_BT	60
S100A12+ Mac_RA_BT	Proliferating CD8+ T_RA_BT	75
S100A12+ Mac_RA_BT	GZMK+ CD8+ Tem1_RA_BT	61
S100A12+ Mac_RA_BT	Proliferating NK_RA_BT	26
S100A12+ Mac_RA_BT	GZMK+ CD8+ NKTem_RA_BT	55
